area,event_name,start_time,end_time,label_class,label_source,label_strength,review_status,promotion_ready,independence_level,review_priority,join_status,evidence_link,evidence_type,source_status,source_reference,area_mapping_confidence,matched_area_reason,promotion_blocked_reason,review_notes,reviewer,reviewed_at,notes,evidence_support_status
parramatta,Baseline non-event demo window,2026-06-24 00:00:00+00:00,2026-07-02 00:00:00+00:00,0,manual_demo,weak,scaffold_only,no,low,low,joined_to_labels,,,,,,,,,,,Placeholder non-event window carried forward for label plumbing only.,
north-parramatta,Baseline non-event demo window,2026-06-24 00:00:00+00:00,2026-07-02 00:00:00+00:00,0,manual_demo,weak,scaffold_only,no,low,low,joined_to_labels,,,,,,,,,,,Placeholder non-event window carried forward for label plumbing only.,
toongabbie,Baseline non-event demo window,2026-06-24 00:00:00+00:00,2026-07-02 00:00:00+00:00,0,manual_demo,weak,scaffold_only,no,low,low,joined_to_labels,,,,,,,,,,,Placeholder non-event window carried forward for label plumbing only.,
parramatta,Candidate elevated warning window for review,2026-06-29 00:00:00+00:00,2026-06-29 12:00:00+00:00,1,warning_derived,moderate,candidate_review,promoted,moderate,high,joined_to_labels,https://example.test/floodguard/labels/parramatta-warning-window,,,,,,,,,,Candidate warning-linked window reserved for future evidence review; not yet validated for model claims.,
toongabbie,Candidate local impact window for review,2026-06-30 00:00:00+00:00,2026-06-30 06:00:00+00:00,1,impact_candidate,weak,candidate_review,promoted,moderate,high,joined_to_labels,https://example.test/floodguard/labels/toongabbie-impact-window,,,,,,,,,,Backlog-only placeholder for future local impact verification; not used as validated supervision yet.,
north-parramatta,North Parramatta gauge-threshold candidate window,2026-06-12 05:24:44.242000+00:00,2026-06-12 05:24:44.242000+00:00,1,gauge_threshold,weak,candidate_review,no,moderate,medium,backlog_only,https://parramatta.lizard.net/api/v4/timeseries/23c96cd0-5d16-4e8f-8fcd-0f4b80ad6b00/events/?format=json&ordering=time&time__gte=2026-06-11T23%3A24%3A44.242000Z&time__lte=2026-06-12T05%3A24%3A44.242000Z&page_size=500,gauge_archive_query,mixed,Burnside Homes,high,Derived from the area's own stored FloodGuard history file.,"Gauge archive linked, but the fetched review window still returns zero rainfall values; do not promote without stronger corroborating evidence.","Gauge review pack archived from Burnside Homes. Rows=72, nonZero=0, max=0.0, total=0.0.",codex_gauge_evidence_review,2026-07-06T13:48:06.238708+00:00,Automatically queued from stored rainfall/river history; review required before any label promotion.,mismatch
north-parramatta,North Parramatta gauge-threshold candidate window,2026-06-13 06:44:51.865000+00:00,2026-06-13 06:54:32.863000+00:00,1,gauge_threshold,weak,candidate_review,no,moderate,medium,backlog_only,https://parramatta.lizard.net/api/v4/timeseries/23c96cd0-5d16-4e8f-8fcd-0f4b80ad6b00/events/?format=json&ordering=time&time__gte=2026-06-13T00%3A44%3A51.865000Z&time__lte=2026-06-13T06%3A54%3A32.863000Z&page_size=500,gauge_archive_query,stale,Burnside Homes,high,Derived from the area's own stored FloodGuard history file.,"Gauge archive linked, but the fetched review window still returns zero rainfall values; do not promote without stronger corroborating evidence.","Gauge review pack archived from Burnside Homes. Rows=74, nonZero=0, max=0.0, total=0.0.",codex_gauge_evidence_review,2026-07-06T13:48:06.238708+00:00,Automatically queued from stored rainfall/river history; review required before any label promotion.,mismatch
north-parramatta,North Parramatta gauge-threshold candidate window,2026-06-14 09:33:49.773000+00:00,2026-06-14 09:39:37.035000+00:00,1,gauge_threshold,weak,candidate_review,no,moderate,medium,backlog_only,https://parramatta.lizard.net/api/v4/timeseries/23c96cd0-5d16-4e8f-8fcd-0f4b80ad6b00/events/?format=json&ordering=time&time__gte=2026-06-14T03%3A33%3A49.773000Z&time__lte=2026-06-14T09%3A39%3A37.035000Z&page_size=500,gauge_archive_query,stale,Burnside Homes,high,Derived from the area's own stored FloodGuard history file.,Gauge archive linked and ready for human review before any manual promotion.,"Gauge review pack archived from Burnside Homes. Rows=73, nonZero=5, max=0.5, total=2.5.",codex_gauge_evidence_review,2026-07-06T13:48:06.238708+00:00,Automatically queued from stored rainfall/river history; review required before any label promotion.,confirmed
north-parramatta,North Parramatta gauge-threshold candidate window,2026-06-15 01:13:35.760000+00:00,2026-06-15 06:38:42.695000+00:00,1,gauge_threshold,weak,candidate_review,no,moderate,medium,backlog_only,https://parramatta.lizard.net/api/v4/timeseries/23c96cd0-5d16-4e8f-8fcd-0f4b80ad6b00/events/?format=json&ordering=time&time__gte=2026-06-14T19%3A13%3A35.760000Z&time__lte=2026-06-15T06%3A38%3A42.695000Z&page_size=500,gauge_archive_query,stale,Burnside Homes,high,Derived from the area's own stored FloodGuard history file.,"Gauge archive linked, but the fetched review window still returns zero rainfall values; do not promote without stronger corroborating evidence.","Gauge review pack archived from Burnside Homes. Rows=137, nonZero=0, max=0.0, total=0.0.",codex_gauge_evidence_review,2026-07-06T13:48:06.238708+00:00,Automatically queued from stored rainfall/river history; review required before any label promotion.,mismatch
north-parramatta,North Parramatta gauge-threshold candidate window,2026-06-16 03:00:15.700000+00:00,2026-06-16 03:00:56.085000+00:00,1,gauge_threshold,weak,candidate_review,no,moderate,medium,backlog_only,https://parramatta.lizard.net/api/v4/timeseries/23c96cd0-5d16-4e8f-8fcd-0f4b80ad6b00/events/?format=json&ordering=time&time__gte=2026-06-15T21%3A00%3A15.700000Z&time__lte=2026-06-16T03%3A00%3A56.085000Z&page_size=500,gauge_archive_query,stale,Burnside Homes,high,Derived from the area's own stored FloodGuard history file.,"Gauge archive linked, but the fetched review window still returns zero rainfall values; do not promote without stronger corroborating evidence.","Gauge review pack archived from Burnside Homes. Rows=72, nonZero=0, max=0.0, total=0.0.",codex_gauge_evidence_review,2026-07-06T13:48:06.238708+00:00,Automatically queued from stored rainfall/river history; review required before any label promotion.,mismatch
north-parramatta,North Parramatta gauge-threshold candidate window,2026-06-21 13:58:15.637000+00:00,2026-06-21 13:58:15.637000+00:00,1,gauge_threshold,weak,candidate_review,no,moderate,medium,backlog_only,,gauge_threshold,stale,history:north-parramatta,high,Derived from the area's own stored FloodGuard history file.,Needs a reviewed gauge archive or expert-confirmed event window before promotion.,,,,Automatically queued from stored rainfall/river history; review required before any label promotion.,
